Unnamed: 0,day,day_id,id,mood,activity,circumplex.valence,circumplex.arousal,appCat.other,appCat.finance,appCat.social,appCat.travel,appCat.game,appCat.builtin,appCat.communication,call,appCat.unknown,appCat.office,appCat.weather,sms,appCat.entertainment,screen,appCat.utilities,target,wake_up,sleep,week_day,week_mood
3267,2014-05-02,AS14.19_2014-05-02,AS14.19,7.8,0.19230524793625595,1.2,0.4,-0.2280915107589412,-0.24994440994036543,-0.6585188773972591,-0.38167579245765193,-0.22533758328546688,-0.022217854171625938,-0.5964359542478046,9.0,-0.22828822112584096,-0.21596061839931938,-0.21270503804382399,0.0,-0.6830451813610883,-0.8942123556557289,-0.27350470871951965,7.4,6.0,22.0,4,7.04047619047619
3272,2014-05-03,AS14.19_2014-05-03,AS14.19,7.4,0.19011876257542557,1.0,0.4,-0.23840334632176777,-0.24994440994036543,-0.6525373742508184,-0.38167579245765193,-0.22533758328546688,-0.20684553693351232,-0.13292815826327292,13.0,-0.25831629804055606,-0.21596061839931938,-0.21270503804382399,2.0,-0.6830451813610883,-0.5254126015408171,-0.27350470871951965,6.6,0.0,23.0,5,6.99047619047619
3277,2014-05-04,AS14.19_2014-05-04,AS14.19,6.6,0.06944999498758414,0.8,-0.4,-0.28472299687695085,-0.24994440994036543,-0.3431712107992443,-0.38167579245765193,-0.22533758328546688,0.5701880655772081,-0.22110248674144034,0.0,-0.25831629804055606,-0.21596061839931938,-0.21270503804382399,0.0,-0.6830451813610883,-0.6337748018578487,-0.27350470871951965,7.0,0.0,23.0,6,7.028571428571429
3286,2014-03-20,AS14.20_2014-03-20,AS14.20,7.0,0.11987814702814241,1.0,-1.0,-0.5796832987125587,-0.24994440994036543,-0.6271766181271751,-0.38167579245765193,-0.014116935965157765,-0.7518992894246171,-1.0673222028953715,0.0,2.5532076575473197,-0.21596061839931938,-0.21270503804382399,0.0,-0.6376288236590354,-1.1163839782812641,-0.27350470871951965,7.0,7.0,23.0,3,7.0
3287,2014-03-21,AS14.20_2014-03-21,AS14.20,7.0,0.11987814702814241,0.25,0.25,-0.5796832987125587,-0.24994440994036543,-0.6585188773972591,-0.38167579245765193,-0.22533758328546688,-0.9326989834938212,-1.0702787500812272,0.0,-0.25831629804055606,-0.21596061839931938,-0.21270503804382399,0.0,-0.6830451813610883,-1.1872699417283357,-0.27350470871951965,7.5,7.0,23.0,4,7.0
3291,2014-03-22,AS14.20_2014-03-22,AS14.20,7.5,0.007716049382716034,0.5,1.0,-0.3091694791144086,-0.24994440994036543,-0.656533171251355,-0.38167579245765193,-0.22533758328546688,-0.93291530472984,-0.8745350201547049,0.0,3.4246843448252227,-0.21596061839931938,-0.21270503804382399,0.0,-0.6830451813610883,-0.8665408682198332,-0.27350470871951965,7.6,17.0,20.0,5,7.166666666666667
3295,2014-03-23,AS14.20_2014-03-23,AS14.20,7.6,0.04320987654320987,0.8,0.8,-0.27408136837495284,-0.24994440994036543,-0.6585188773972591,-0.38167579245765193,-0.22533758328546688,-0.916426044061699,-0.7508147422866442,0.0,-0.039339735831074446,-0.21596061839931938,-0.21270503804382399,1.0,-0.6324351464694511,-1.0491199558023814,-0.27350470871951965,6.8,21.0,22.0,6,7.275
3300,2014-03-24,AS14.20_2014-03-24,AS14.20,6.8,0.03333333333333333,0.4,-0.2,-0.5144028766405027,-0.24994440994036543,-0.508070496912928,-0.38167579245765193,1.2623707217352789,-0.8471474237005893,-0.811092991015858,0.0,2.5532076575473197,-0.21596061839931938,-0.21270503804382399,1.0,-0.5121016733939752,-0.6936367945016102,-0.27350470871951965,6.0,5.0,19.0,0,7.18
3305,2014-03-25,AS14.20_2014-03-25,AS14.20,6.0,0.07893518518518522,-0.5,-0.75,0.02660153770092646,-0.24994440994036543,-0.31378038727360835,-0.38167579245765193,0.9339365310067709,-0.09290405787494084,-0.9524900267874846,0.0,1.9368379647913434,-0.21596061839931938,-0.21270503804382399,0.0,-0.40830678989898256,-0.6382760616875985,0.5157305819336623,6.8,7.0,21.0,1,6.983333333333333
3309,2014-03-26,AS14.20_2014-03-26,AS14.20,6.8,0.025762156714537646,0.4,0.4,-0.2409209205898092,-0.24994440994036543,-0.42958930044007615,-0.38167579245765193,-0.22533758328546688,-0.7066183700528161,-1.0310352741088635,0.0,-0.25831629804055606,-0.21596061839931938,-0.21270503804382399,0.0,-0.29427348218655835,-1.037223142398834,-0.27350470871951965,7.0,6.0,11.0,2,6.957142857142856
3314,2014-03-27,AS14.20_2014-03-27,AS14.20,7.0,0.05700000000000001,0.75,0.25,-0.5796832987125587,-0.24994440994036543,-0.49331181671665286,-0.38167579245765193,1.859440974154272,-0.7346982621089309,-1.0143861145371167,0.0,-0.25831629804055606,-0.21596061839931938,-0.21270503804382399,0.0,-0.6365076522301854,-0.9295480600993071,-0.27350470871951965,6.25,19.0,23.0,3,6.957142857142857
